"filename", "language", "JavaScript", "HTML", "PHP", "XML", "JSON", "Markdown", "CSS", "SCSS", "Less", "YAML", "comment", "blank", "total"
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_path.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 2, 15
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_rotated-flipped.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 5, 21
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_spinning.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 2, 4, 30
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_stacked.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 2, 21
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 555, 0, 0, 3, 4, 562
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/font-awesome.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 2, 18
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/js/jquery-1.10.2.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/css/app.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/js/app.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/js/bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 29
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/lang/en/auth.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 10, 5, 21
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/lang/en/pagination.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/lang/en/passwords.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/lang/en/validation.php", "PHP", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 30, 9, 158
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/markdown/policy.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/markdown/terms.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/api/api-token-manager.blade.php", "PHP", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 26, 170
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/api/index.blade.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
